"","g05_01","g05_02","g05_03","g05_04","g05_05","g05_06","g05_07","g05_08","g05_09","g05_10","g05_11","g05_12","g05_13","g05_14","g05_15","g05_16","g05_17","g05_18","g05_19","g05_20","g05_21","g05_22","g05_23","g05_24","g05_25","g05_26","g05_27","g05_28","g05_29","g05_30","g05_31","g05_32","g05_33","g05_34","g05_35","g05_36","g05_37","g05_38","g05_39","g05_40","g05_41","g05_42","g05_43","g05_44","g05_45","g05_46","g05_47","g05_48","g05_49","g05_50","g05_51","g05_52","g05_53","g05_54","g05_55","g05_56","g05_57","g05_58","g05_59","g05_60","g05_61","g05_62","g05_63","g05_64","g05_65","g05_66","g05_67","g05_68","g05_69","g05_70","g05_71","g05_72","g05_73","g05_74","g05_75","g05_76","g05_77","g05_78","g05_79","g05_80","g05_81","g05_82","g05_83","g05_84","g05_85"
"913211","dog","cat","hors","cow","sheep","pig","chicken","duck","goos","turkei","rabbit","squirrel","","","","","","","","","goat","","","","","","","","","","","","","","","","","","","","deer","moos","elk","bear","lion","cougar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"926890","dog","cat","eleph","rat","hors","squirrel","bird","giraff","zebra","hippo","cow","pig","sheep","goat","","","","","","","allig","snak","iguana","gecko","lizard","","","","","","","","","","","","","","","","worm","hippo","rhino","","","","","","","","","","","","","","","","","","gazel","deer","raccoon","beaver","rabbit","squirrel","hedgehog","","","","","","","","","","","","","","","","","",""
"922248","cat","dog","hors","llama","alpaca","cow","sheep","goat","eleph","","","","","","","","","","","","zebra","monkei","gerbil","mous","","","","","","","","","","","","","","","","","giraff","pig","","","","","","","","","","","","","","","","","","","gazel","","","","","","","","","","","","","","","","","","","","","","","",""
"906495","bear","cat","dog","antelop","hors","cow","tiger","lion","lamb","","","","","","","","","","","","sheep","llama","giraff","deer","raccoon","porcupin","squirrel","","","","","","","","","","","","","","rabbit","monkei","gorilla","","","","","","","","","","","","","","","","","","sheep","lamb","pig","","","","","","","","","","","","","","","","","","","","","",""
"916146","squirrel","dog","cat","cow","llama","chicken","duck","goos","lion","","","","","","","","","","","","hippo","zebra","cat","whale","","","","","","","","","","","","","","","","","fox","coyot","elk","buffalo","","","","","","","","","","","","","","","","","bear","muskox","","","","","","","","","","","","","","","","","","","","","","",""
"928562","cow","beef","hors","chicken","goat","llama","eleph","monkei","lion","tiger","llama","","","","","","","","","","gorilla","allig","dog","cat","","","","","","","","","","","","","","","","","chicken","skunk","raccoon","opossum","bull","deer","","","","","","","","","","","","","","","bear","","","","","","","","","","","","","","","","","","","","","","","",""
"908559","dog","hors","cow","sheep","pig","goos","cat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","calf","colt","babypig","","","","","","","","","","","","","","","","","","babyduck","","","","","","","","","","","","","","","","","","","","","","","",""
"931096","cow","hors","dog","cat","mule","donkei","eleph","giraff","kangaroo","","","","","","","","","","","","ox","steer","","","","","","","","","","","","","","","","","","","monkei","ap","","","","","","","","","","","","","","","","","","","tiger","lion","","","","","","","","","","","","","","","","","","","","","","",""
"929536","aardvark","bat","cat","dog","eleph","frog","hippo","iguana","jackass","","","","","","","","","","","","monkei","octopus","","","","","","","","","","","","","","","","","","","rabbit","snak","tiger","","","","","","","","","","","","","","","","","","zebra","anteat","","","","","","","","","","","","","","","","","","","","","","",""
"928505","cat","dog","bird","hors","pig","goat","sheep","llama","camel","","","","","","","","","","","","zebra","lion","tiger","eleph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"930922","anteat","bear","giraff","eleph","zebra","polarbear","kangaroo","tiger","","","","","","","","","","","","","yak","elk","deer","moos","","","","","","","","","","","","","","","","","squirrel","raccoon","muskrat","opossum","fox","","","","","","","","","","","","","","","","coyot","hors","cow","pig","sheep","llama","","","","","","","","","","","","","","","","","","",""
"909615","dog","cat","moos","deer","elk","bear","wolf","coyot","fox","eleph","giraff","lion","tiger","","","","","","","","gazel","wildebeest","goat","sheep","hors","cow","","","","","","","","","","","","","","","fowl","","","","","","","","","","","","","","","","","","","","wateranim","whale","mammal","wildgoat","reindeer","","","","","","","","","","","","","","","","","","","",""
"919255","aardvark","bear","camel","dog","eleph","lion","tiger","leopard","","","","","","","","","","","","","mole","cat","rhino","giraff","chipmunk","squirrel","","","","","","","","","","","","","","","rat","rabbit","gerbil","","","","","","","","","","","","","","","","","","hamster","deer","skunk","raccoon","","","","","","","","","","","","","","","","","","","","",""
"904109","hors","cow","goat","sheep","deer","squirrel","rabbit","eleph","antelop","moos","","","","","","","","","","","raccoon","beaver","waterbuffalo","zebra","giraff","","","","","","","","","","","","","","","","armadillo","","","","","","","","","","","","","","","","","","","","bear","caribou","elk","","","","","","","","","","","","","","","","","","","","","",""
"924059","dog","cat","hors","pig","allig","mous","rat","raccoon","deer","bear","moos","eleph","zebra","","","","","","","","elk","monkei","gorilla","","","","","","","","","","","","","","","","","","chimp","kangaroo","","","","","","","","","","","","","","","","","","","pig","chimp","squirrel","","","","","","","","","","","","","","","","","","","","","",""
"920800","dog","cat","mous","rat","squirrel","deer","rabbit","","","","","","","","","","","","","","cat","lion","tiger","bear","","","","","","","","","","","","","","","","","muskrat","beaver","","","","","","","","","","","","","","","","","","","cow","lamb","antelop","","","","","","","","","","","","","","","","","","elk","","","",""
"901088","cow","hors","calf","llama","sheep","goat","camel","dog","cat","lion","","","","","","","","","","","cheetah","monkei","baboon","ap","allig","rabbit","skunk","","","","","","","","","","","","","","weasel","ferret","","","","","","","","","","","","","","","","","","","beaver","","","","","","","","","","","","","","","","","","","","","","","",""
"921812","dog","cat","hors","sheep","goat","buffalo","antelop","moos","wolf","fox","","","","","","","","","","","coyot","lynx","mink","ferret","whale","walrus","","","","","","","","","","","","","","","chicken","rooster","goos","duck","cow","bull","heifer","","","","","","","","","","","","","","deer","","","","","","","","","","","","","","","","","","","","","","","",""
"902927","deer","elk","moos","leopard","eleph","cat","dog","snak","turtl","rabbit","","","","","","","","","","","goos","gazel","giraff","","","","","","","","","","","","","","","","","","waterbuffalo","dog","","","","","","","","","","","","","","","","","","","badger","opossum","","","","","","","","","","","","","","","","","","","","","","",""
"915051","leopard","lion","tiger","giraff","bear","anteat","seal","dog","cat","","","","","","","","","","","","hors","cow","sheep","llama","puma","aardvark","","","","","","","","","","","","","","","llama","chinchilla","eleph","","","","","","","","","","","","","","","","","","monkei","donkei","mule","","","","","","","","","","","","","","","","","","","","","",""
"911601","cat","dog","mous","bird","hors","pig","cow","lamb","llama","eleph","tiger","lion","bear","","","","","","","","kangaroo","monkei","orangutan","deer","moos","elk","polarbear","","","","","","","","","","","","","","bird","owl","giraff","eleph","hippo","rhino","penguin","","","","","","","","","","","","","","fly","ant","centiped","beetl","worm","snak","","","","","","","","","","","","","","","","","","",""
"910090","cat","badger","lion","dog","pig","cow","raccoon","deer","wolf","bobcat","","","","","","","","","","","snak","kitten","goat","sheep","","","","","","","","","","","","","","","","","hors","","","","","","","","","","","","","","","","","","","","monkei","eleph","","","","","","","","","","","","","","","","","","","","","","",""
"908007","hors","cow","pig","lamb","sheep","dog","cat","lion","zebra","eleph","giraff","tiger","monkei","","","","","","","","ap","hors","poni","bird","parakeet","parrot","","","","","","","","","","","","","","","rat","rhino","hippo","allig","shark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"920216","tiger","lion","dog","monkei","skunk","eleph","zebra","ap","cat","","","","","","","","","","","","beaver","raccoon","","","","","","","","","","","","","","","","","","","skunk","lion","giraff","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"918719","armadillo","aardvark","beaver","bee","cat","dog","fox","","","","","","","","","","","","","","gorilla","hamster","jackass","","","","","","","","","","","","","","","","","","lemur","lion","tiger","leopard","panther","","","","","","","","","","","","","","","","walrus","fish","octopus","squid","","","","","","","","","","","","","","","","","","","","",""
"933741","dog","cat","cow","sheep","goat","ram","mountaingoat","lion","tiger","zebra","giraff","warthog","","","","","","","","","bengaltig","llama","hors","cow","","","","","","","","","","","","","","","","","fish","bird","robin","bluejai","oriol","thrush","falcon","","","","","","","","","","","","","","eagl","mous","hamster","insect","spider","bug","lizard","","","","","","","","","","","","","","","","","",""
"933546","deer","bear","dog","bird","fish","turtl","muskrat","","","","","","","","","","","","","","chipmunk","woodpeck","","","","","","","","","","","","","","","","","","","eagl","robin","bluejai","","","","","","","","","","","","","","","","","","hummingbird","parakeet","perch","bluegil","","","","","","","","","","","","","","","","","","","","",""
"909653","bear","dog","cat","hors","cow","sheep","aardvark","monkei","lion","tiger","","","","","","","","","","","eleph","zebra","rhino","snak","squirrel","rabbit","","","","","","","","","","","","","","","bird","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"904948","hawk","bear","cat","dog","eleph","felin","","","","","","","","","","","","","","","snak","puma","zebra","","","","","","","","","","","","","","","","","","giraff","panda","","","","","","","","","","","","","","","","","","","turtl","","","","","","","","","","","","","","","","","","","","","","","",""
"923381","bear","wolf","dog","cat","monkei","lion","tiger","rhino","","","","","","","","","","","","","hippo","giraff","leopard","goat","","","","","","","","","","","","","","","","","pig","buffalo","bison","caribou","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"921933","fish","allig","crocodil","dog","cat","cow","pig","hors","giraff","eleph","lion","fly","","","","","","","","","hippo","","","","","","","","","","","","","","","","","","","","bird","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"905218","cat","dog","rhino","eleph","lion","cheetah","panda","bear","jaguar","rooster","","","","","","","","","","","cow","pig","hors","poni","kodiakbear","seal","whale","","","","","","","","","","","","","","walrus","giraff","","","","","","","","","","","","","","","","","","","antelop","deer","moos","reindeer","","","","","","","","","","","","","","","","","","","","",""
"918490","dog","cat","lamb","duck","goos","fish","cow","hors","chicken","","","","","","","","","","","","hen","lamb","goat","giraff","eleph","","","","","","","","","","","","","","","","lion","tiger","bear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"931655","cat","dog","fish","eleph","lion","tiger","hippo","rat","cat","mous","","","","","","","","","","","zebra","hippo","hors","cow","goat","sheep","lion","","","","","","","","","","","","","","tiger","zebra","squirrel","bobcat","badger","lion","tiger","jaguar","","","","","","","","","","","","","humb","","","","","","","","","","","","","","","","","","","","","","","",""
"927393","cat","dog","pig","zebra","eleph","giraff","allig","crocodil","octopus","goldfish","snak","lizard","bug","","","","","","","","monkei","hippo","lion","tiger","bear","deer","moos","elk","bird","","","","","","","","","","","","guineapig","hamster","turtl","gilamonst","","","","","","","","","","","","","","","","","rhino","hippo","giraff","weasel","","","","","","","","","","","","","","","","","","","","",""
"905479","dinosaur","lion","tiger","dog","cat","ferret","chicken","goos","cow","hors","","","","","","","","","","","bobcat","margat","eleph","ap","chimp","orangutan","","","","","","","","","","","","","","","fish","shark","dolphin","whale","","","","","","","","","","","","","","","","","bird","parrot","ant","","","","","","","","","","","","","","","","","","","","","",""
"906623","fox","squirrel","dog","cat","cow","pig","sheep","lamb","deer","","","","","","","","","","","","squirrel","turkei","fox","","","","","","","","","","","","","","","","","","chipmunk","mous","rat","","","","","","","","","","","","","","","","","","fawn","owl","robin","","","","","","","","","","","","","","","","","","","","","",""
"915453","dog","cat","cow","hors","pig","goat","","","","","","","","","","","","","","","kangaroo","eleph","tiger","lion","hippo","rhino","","","","","","","","","","","","","","","cheetah","lynx","","","","","","","","","","","","","","","","","","","giraff","","","","","","","","","","","","","","","","","","","","","","","",""
"925481","cow","pig","dog","duck","cat","mule","pig","rabbit","skunk","bird","raccoon","opossum","","","","","","","","","fly","sheep","donkei","hors","","","","","","","","","","","","","","","","","hawk","","","","","","","","","","","","","","","","","","","","mule","goat","chicken","","","","","","","","","","","","","","","","","","","","","",""
"928778","cat","dog","hors","pig","zebra","lion","jaguar","leopard","eleph","buffalo","","","","","","","","","","","rat","groundhog","","","","","","","","","","","","","","","","","","","eleph","walrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"910443","cow","goat","sheep","hors","pig","dog","cat","","","","","","","","","","","","","","skunk","","","","","","","","","","","","","","","","","","","","mous","rat","coon","gopher","","","","","","","","","","","","","","","","","muskrat","","","","","","","","","","","","","","","","","","","","","","","",""
"927652","dog","cat","hors","cow","llama","sheep","goat","mous","rat","","","","","","","","","","","","wolf","mole","gopher","panther","tiger","lion","dog","","","","","","","","","","","","","","hyena","coyot","wolf","turtl","snail","slug","","","","","","","","","","","","","","","snak","worm","bird","","","","","","","","","","","","","","","","","","","","","",""
"922855","cat","dog","hors","cow","chicken","hippo","giraff","eleph","lion","","","","","","","","","","","","raccoon","opossum","muskrat","hors","","","","","","","","","","","","","","","","","alpaca","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"914181","cat","dog","lion","tiger","zebra","","","","","","","","","","","","","","","","rabbit","chipmunk","squirrel","","","","","","","","","","","","","","","","","","zebra","hors","cow","pig","chicken","","","","","","","","","","","","","","","","giraff","hippo","","","","","","","","","","","","","","","","","","","","","","",""
"902061","cat","dog","beaver","hors","cow","donkei","giraff","zebra","","","","","","","","","","","","","monkei","ap","gorilla","lion","tiger","gopher","mole","","","","","","","","","","","","","","bear","deer","muskrat","rabbit","","","","","","","","","","","","","","","","","porcupin","badger","wolverin","mountainlion","","","","","","","","","","","","","","","","","rat","","","",""
"919938","dog","cat","gerbil","lion","tiger","cat","monkei","","","","","","","","","","","","","","baboon","giraff","gorilla","hors","cow","","","","","","","","","","","","","","","","raccoon","bunni","skunk","squirrel","","","","","","","","","","","","","","","","","gerbil","","","","","","","","","","","","","","","","","","","","","","","",""
"915121","dog","cat","cow","bull","lamb","","","","","","","","","","","","","","","","hors","eleph","kangaroo","giraff","llama","","","","","","","","","","","","","","","","eleph","new","koala","bear","cub","deer","","","","","","","","","","","","","","","antelop","porcupin","skunk","","","","","","","","","","","","","","","","","","zebra","","","",""
"923114","cat","dog","snak","worm","giraff","tiger","eleph","kangaroo","bear","moos","elk","","","","","","","","","","bird","rhino","hippo","dinosaur","squirrel","","","","","","","","","","","","","","","","bat","dolphin","shark","whale","","","","","","","","","","","","","","","","","fish","","","","","","","","","","","","","","","","","","","","","","","",""
"912394","beaver","bear","weasel","cow","cat","dog","mous","hors","deer","anim","tiger","lion","","","","","","","","","gazel","pig","shrew","fish","otter","","","","","","","","","","","","","","","","coyot","timberwolf","leopard","jaguar","mountainlion","bobcat","canadilynx","","","","","","","","","","","","","","eleph","buffalo","","","","","","","","","","","","","","","","","","","","","","",""
"930777","dog","cat","hors","skunk","bird","mous","lion","tiger","zebra","","","","","","","","","","","","eleph","hors","badger","wolverin","","","","","","","","","","","","","","","","","gopher","otter","","","","","","","","","","","","","","","","","","","caribou","elk","","","","","","","","","","","","","","","","","","","","","","",""
"922370","cow","hors","dog","cat","tiger","lion","beaver","bear","goat","otter","","","","","","","","","","","pig","cat","sheep","","","","","","","","","","","","","","","","","","kangaroo","eleph","zebra","giraff","","","","","","","","","","","","","","","","","hippo","boar","","","","","","","","","","","","","","","","","","","","","","",""
"902225","dog","cat","lion","sheep","cow","pig","hors","goat","","","","","","","","","","","","","giraff","lion","bear","raccoon","","","","","","","","","","","","","","","","","deer","elk","moos","pig","hors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"914909","eleph","zebra","giraff","cow","pig","dog","pheasant","giraff","","","","","","","","","","","","","mink","coon","groundhog","woodchuck","hors","cow","","","","","","","","","","","","","","","weasel","porcupin","fox","wolf","blackwolf","","","","","","","","","","","","","","","","caribou","muled","rabbit","skunk","","","","","","","","","","","","","","","","","","","","",""
"914015","cow","pig","hors","deer","sheep","antelop","eleph","dog","cat","rabbit","","","","","","","","","","","squirrel","wolf","fox","coyot","","","","","","","","","","","","","","","","","pig","","","","","","","","","","","","","","","","","","","","moos","bear","antelop","elk","","","","","","","","","","","","","","","","","","","","",""
"915851","hors","cow","cat","dog","deer","fox","wolf","coyot","raccoon","squirrel","rabbit","","","","","","","","","","opossum","allig","rhino","","","","","","","","","","","","","","","","","","kangaroo","llama","sheep","tiger","lion","moos","elk","","","","","","","","","","","","","","bear","","","","","","","","","","","","","","","","","","","","","","","",""
"908955","cat","dog","hors","cow","mink","badger","squirrel","","","","","","","","","","","","","","deer","fox","bear","moos","elk","","","","","","","","","","","","","","","","opossum","rat","mous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"931668","hors","cow","sheep","hog","pig","human","chicken","","","","","","","","","","","","","","duck","goos","","","","","","","","","","","","","","","","","","","dog","cat","rabbit","guineahen","hamster","rat","","","","","","","","","","","","","","","mous","","","","","","","","","","","","","","","","","","","","","","","",""
"914558","cow","hors","pig","chicken","dog","cat","eleph","rhino","lion","tiger","hippo","rooster","eleph","","","","","","","","giraff","","","","","","","","","","","","","","","","","","","","hippo","rhino","whale","zebra","","","","","","","","","","","","","","","","","monkei","","","","","","","","","","","","","","","","","","","","","","","",""
"918138","cow","pig","hors","rat","mous","prairiedog","fox","coyot","wolf","","","","","","","","","","","","dog","raccoon","opossum","skunk","gopher","chipmunk","deer","elk","moos","caribou","","","","","","","","","","","blackbear","brownbear","cinnamonbear","polarbear","grizzlybear","mountaingoat","mountainsheep","sheep","goat","","","","","","","","","","","","cat","mountainlion","tiger","lion","zebra","cheetah","leopard","","","","","","","","","","","","","","wildebeest","eleph","","",""
"931429","dog","cat","hors","cow","mous","rat","","","","","","","","","","","","","","","ap","lion","tiger","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"919460","dog","cat","mous","pig","cow","hors","monkei","lion","tiger","","","","","","","","","","","","eleph","giraff","goat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","chicken","","","","","","","","","","","","","","","","","","","","","","","",""
"900676","dog","cat","squirrel","rabbit","deer","snak","bird","lion","tiger","bear","hippo","giraff","","","","","","","","","llama","rhino","eleph","crocodil","","","","","","","","","","","","","","","","","panda","chimp","fish","octopus","whale","","","","","","","","","","","","","","","","chickade","pigeon","stork","eagl","","","","","","","","","","","","","","","","","","","","",""
"919407","kangaroo","squirrel","rabbit","eleph","tiger","lion","cow","pig","hors","","","","","","","","","","","","eleph","snak","wombat","whale","","","","","","","","","","","","","","","","","squirrel","jackrabbit","mule","","","","","","","","","","","","","","","","","","cheetah","jaguar","","","","","","","","","","","","","","","","","","","","","","",""
"914516","dog","cat","mous","gopher","chipmunk","tiger","bear","armadillo","","","","","","","","","","","","","giraff","eleph","zebra","monkei","","","","","","","","","","","","","","","","","goat","cow","hors","sheep","chicken","duck","goos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"911609","dog","cat","cow","rabbit","bear","deer","elk","caribou","moos","sheep","mountaingoat","prairiedog","squirrel","","","","","","","","lion","tiger","rhino","eleph","zebra","woodchuck","beaver","","","","","","","","","","","","","","ferret","","","","","","","","","","","","","","","","","","","","","","hare","gazel","","","","","","","","","","","","","","","","","","","","",""
"917500","dog","cat","bear","snak","monkei","gorilla","","","","","","","","","","","","","","","cougar","sheep","cow","hors","","","","","","","","","","","","","","","","","monkei","ap","","","","","","","","","","","","","","","","","","","bird","deer","","","","","","","","","","","","","","","","","","","","","","",""
"909398","cat","dog","hors","tiger","llama","eleph","hippo","cow","sheep","lion","","","","","","","","","","","bear","monkei","woodchuck","squirrel","","","","","","","","","","","","","","","","","rabbit","raccoon","deer","","","","","","","","","","","","","","","","","","","","mous","rat","lemur","","","","","","","","","","","","","","","","","","","",""
"916424","beaver","eleph","monkei","dog","cat","cow","hors","chicken","goos","duck","snak","","","","","","","","","","bat","chipmunk","squirrel","bird","lion","tiger","","","","","","","","","","","","","","","cougar","wildebeest","crocodil","allig","","","","","","","","","","","","","","","","","opossum","raccoon","skunk","","","","","","","","","","","","","","","","","","","","","",""
"900392","beaver","mous","deer","bear","hippo","rhino","giraff","lion","tiger","cheetah","leopard","dog","cat","","","","","","","","hors","cow","chicken","","","","","","","","","","","","","","","","","","bat","eleph","","","","","","","","","","","","","","","","","","","rhino","eland","wildebeest","gopher","prairiedog","","","","","","","","","","","","","","","","","","","",""
"901330","cat","dog","rabbit","squirrel","bird","wolf","tiger","mountainlion","","","","","","","","","","","","","opossum","bear","chipmunk","giraff","zebra","","","","","","","","","","","","","","","","hamster","mous","porcupin","","","","","","","","","","","","","","","","","","turkei","","","","","","","","","","","","","","","","","","","","","","","",""
"912902","elk","deer","coyot","rabbit","squirrel","chipmunk","gopher","bear","deer","","","","","","","","","","","","badger","weasel","raccoon","porcupin","cow","hors","","","","","","","","","","","","","","","goat","sheep","","","","","","","","","","","","","","","","","","","hors","llama","emu","buffalo","","","","","","","","","","","","","","","","","","","","",""
"904691","cow","hors","sheep","cat","dog","lion","tiger","giraff","orangutan","gorilla","","","","","","","","","","","monkei","","","","","","","","","","","","","","","","","","","","baboon","","","","","","","","","","","","","","","","","","","","fish","","","","","","","","","","","","","","","","","","","","","","","",""
"927801","cat","dog","bird","monkei","bear","giraff","gorilla","zebra","mous","hamster","gerbil","","","","","","","","","","snak","ant","roach","","","","","","","","","","","","","","","","","","seal","whale","aardvark","baboon","raccoon","","","","","","","","","","","","","","","","chipmunk","gerbil","ferret","parrot","","","","","","","","","","","","","","","","","","","","",""
"908076","leopard","zebra","giraff","hippo","lion","cheetah","mountainlion","goat","elk","","","","","","","","","","","","deer","gazel","dog","wolf","prairiedog","","","","","","","","","","","","","","","","snak","allig","fish","turtl","whale","porpois","","","","","","","","","","","","","","","shark","","","","","","","","","","","","","","","","","","","","fisher","porcupin","","",""
"908043","dog","cat","pig","cow","hors","eleph","cheetah","tiger","","","","","","","","","","","","","poni","giraff","","","","","","","","","","","","","","","","","","","bird","coyot","wolf","","","","","","","","","","","","","","","","","","badger","","","","","","","","","","","","","","","","","","","","","","","",""
"910940","cat","dog","mous","rat","cockroach","hors","cow","calf","sheep","lamb","goat","bird","","","","","","","","","ostrich","domest","","","","","","","","","","","","","","","","","","","wild","mammal","withvertebra","fish","","","","","","","","","","","","","","","","","bug","bird","beetl","insect","rodent","","","","","","","","","","","","","","","","reptil","snak","","",""
"927316","dog","cat","hors","cow","chicken","snak","gopher","woodchuck","zebra","giraff","lion","tiger","cheetah","","","","","","","","armadillo","eleph","hippo","rhino","gnu","moos","elk","deer","partridg","quail","","","","","","","","","","","pheasant","goos","crane","turtl","fish","","","","","","","","","","","","","","","","raccoon","opossum","skunk","","","","","","","","","","","","","","","","","","","","","",""
"900286","deer","bear","chipmunk","squirrel","rabbit","woodchuck","","","","","","","","","","","","","","","eleph","lion","giraff","monkei","ap","","","","","","","","","","","","","","","","elk","sheep","cow","pig","","","","","","","","","","","","","","","","","caribou","fox","rat","cat","dog","","","","","","","","","","","","","","","","","","","",""
"930093","dog","cat","lizard","pig","hors","cow","","","","","","","","","","","","","","","bird","hors","","","","","","","","","","","","","","","","","","","monkei","eleph","lion","tiger","","","","","","","","","","","","","","","","","bird","","","","","","","","","","","","","","","","","","","","mous","","","",""
"932433","dog","cat","lion","bear","tiger","chimp","monkei","","","","","","","","","","","","","","rabbit","skunk","hors","","","","","","","","","","","","","","","","","","cow","calf","pig","chicken","","","","","","","","","","","","","","","","","rat","mous","","","","","","","","","","","","","","","","","","","","","","",""
"903569","cat","pig","cow","mous","rat","chicken","dog","pigeon","bird","eleph","zebra","","","","","","","","","","hors","lion","goat","fox","bear","deer","elk","moos","","","","","","","","","","","","","grous","pheasant","duck","","","","","","","","","","","","","","","","","","turkei","pigeon","quail","","","","","","","","","","","","","","","","","","","","","",""
"907775","dog","cat","eleph","goat","cow","pig","leopard","snak","","","","","","","","","","","","","allig","","","","","","","","","","","","","","","","","","","","sheep","hors","donkei","orangutan","","","","","","","","","","","","","","","","","bear","monkei","ap","gorilla","","","","","","","","","","","","","","","","","","","","",""
